tipo;id;nombre;icono_addon;icono_web;resultado;estado
rasgo;abrazo_vacio;Abrazo del Vacio;Malzahar_VoidShift;hots_malzahar_voidshift;hots_malzahar_voidshift;sustituido por la web
rasgo;acechador;Acechador;ability_druid_prowl;ability_druid_prowl;ability_druid_prowl;del addon
rasgo;acolito;Acolito;spell_holy_impholyconcentration;spell_holy_impholyconcentration;spell_holy_impholyconcentration;del addon
rasgo;acolito_luz_abisal;Acolito de la Luz Abisal;ability_priest_innerlightandshadow;ability_priest_innerlightandshadow;ability_priest_innerlightandshadow;del addon
rasgo;actor;Actor;eps_lol_profileicon_songofnunubraum;eps_lol_profileicon_songofnunubraum;eps_lol_profileicon_songofnunubraum;del addon
rasgo;adepto_armas_fuego;Adepto en armas de fuego;w3reforgedflaregun;w3reforgedflaregun;w3reforgedflaregun;del addon
rasgo;adepto_cosecha_oscura;Adepto de la cosecha oscura;ability_warlock_infernogreen;ability_warlock_infernogreen;ability_warlock_infernogreen;del addon
rasgo;adepto_metamagia;Adepto de la metamagia;spell_holy_dispelmagic;spell_holy_dispelmagic;spell_holy_dispelmagic;del addon
rasgo;adepto_sobrenatural;Adepto sobrenatural;ability_ardenweald_warlock;ability_ardenweald_warlock;ability_ardenweald_warlock;del addon
rasgo;afliccion;Afliccion;spell_shadow_deathcoil;spell_shadow_deathcoil;spell_shadow_deathcoil;del addon
rasgo;afliccion_aflicciones_inestables;Aflicciones Inestables;;;;sin icono
rasgo;afliccion_aflicciones_potentes;Aflicciones Potentes;;;;sin icono
rasgo;afliccion_drenar_alma;Drenar Alma;;;;sin icono
rasgo;afortunado;Afortunado;inv_misc_herb_goldclover;inv_misc_herb_goldclover;inv_misc_herb_goldclover;del addon
rasgo;agente_principe_mercante;Agente de principe mercante;eps_hs_grimygoblin;eps_hs_grimygoblin;eps_hs_grimygoblin;del addon
rasgo;agilidad_robusta;Agilidad robusta;ability_rogue_fleetfooted;ability_rogue_fleetfooted;ability_rogue_fleetfooted;del addon
rasgo;alerta;Alerta;inv_misc_bell_01;inv_misc_bell_01;inv_misc_bell_01;del addon
rasgo;altonato;Altonato;eps_wc3h_nightelfmalewarrior;eps_wc3h_nightelfmalewarrior;eps_wc3h_nightelfmalewarrior;del addon
rasgo;amigo_criaturas;Amigo de las criaturas;Ivern_FriendOfTheForest;eps_lol_ivern_friendoftheforest;eps_lol_ivern_friendoftheforest;sustituido por la web
rasgo;anima_errante;Anima errante;ability_warlock_soulswap;ability_warlock_soulswap;ability_warlock_soulswap;del addon
rasgo;animador;Animador;eps_bg3_playlute;eps_bg3_playlute;eps_bg3_playlute;del addon
rasgo;animador_gladiador;Gladiador;achievement_featsofstrength_gladiator_03;achievement_featsofstrength_gladiator_03;achievement_featsofstrength_gladiator_03;del addon
rasgo;aprendiz_kirin_tor;Aprendiz del Kirin Tor;achievement_kirintor_offensive;achievement_kirintor_offensive;achievement_kirintor_offensive;del addon
rasgo;apresador;Apresador;ability_warrior_titansgrip;ability_warrior_titansgrip;ability_warrior_titansgrip;del addon
rasgo;arcano;Arcano;spell_holy_magicalsentry;spell_holy_magicalsentry;spell_holy_magicalsentry;del addon
rasgo;armas;Armas;ability_warrior_savageblow;ability_warrior_savageblow;ability_warrior_savageblow;del addon
rasgo;armas_calma_mortal;Calma Mortal;;;;sin icono
rasgo;armas_golpe_colosal;Golpe Colosal;;;;sin icono
rasgo;armas_golpes_de_oportunidad;Golpes de Oportunidad;;;;sin icono
rasgo;armas_grito_de_mando;Grito de Mando;;;;sin icono
rasgo;artesano_gremial;Artesano gremial;ability_racial_jackofalltrades;eps_arc_sign_oribos_trade;eps_arc_sign_oribos_trade;sustituido por la web
rasgo;artesano_gremial_comerciante_gremial;Comerciante gremial;eps_arc_sign_oribos_trade;eps_arc_sign_oribos_trade;eps_arc_sign_oribos_trade;del addon
rasgo;artillero_dote;Tirador (armas de fuego);inv_misc_ammo_bullet_02;inv_misc_ammo_bullet_02;inv_misc_ammo_bullet_02;del addon
rasgo;asesino;Asesinato;ability_rogue_eviscerate;ability_rogue_eviscerate;ability_rogue_eviscerate;del addon
rasgo;atacante_carga;Atacante a la carga;ability_warrior_charge;ability_warrior_charge;ability_warrior_charge;del addon
rasgo;atacante_salvaje;Atacante salvaje;warrior_wild_strike;warrior_wild_strike;warrior_wild_strike;del addon
rasgo;atleta;Atleta;eps_bg3_sprint;eps_bg3_sprint;eps_bg3_sprint;del addon
rasgo;azote_magos;Azote de magos;ability_demonhunter_consumemagic;ability_demonhunter_consumemagic;ability_demonhunter_consumemagic;del addon
rasgo;bestias;Bestias;ability_hunter_bestialdiscipline;ability_hunter_bestialdiscipline;ability_hunter_bestialdiscipline;del addon
rasgo;bestias_vinculo_del_companero;Vínculo del Compañero;ability_hunter_pet_assist;ability_hunter_pet_assist;ability_hunter_pet_assist;del addon
rasgo;bg_aco_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_aco_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_alt_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_alt_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_alt_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_alt_peso;Peso de un reino caido;w3reforgedtinycastle;w3reforgedtinycastle;w3reforgedtinycastle;del addon
rasgo;bg_ani_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_ani_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_ani_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_anillo_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_anillo_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_anillo_sintonia;Sintonia elemental;spell_nature_elementalprecision_2;spell_nature_elementalprecision_2;spell_nature_elementalprecision_2;del addon
rasgo;bg_arg_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_arg_determinacion;Determinacion inquebrantable;hots_xinzhao_determination;hots_xinzhao_determination;hots_xinzhao_determination;del addon
rasgo;bg_arg_juego;Juego;inv_misc_dice_02;inv_misc_dice_02;inv_misc_dice_02;del addon
rasgo;bg_art_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_art_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_art_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
